EventID,PageNumber,PageEventEnds,OrderWithinPage,Chronological Order,NarrativeStatus,StartDate,EndDate,Era,Summary,LocationID,PresentMentioned,CharacterName,Race,Gender,Class,Rank,LocationTitle,X,Y,new_y,narrator,begin_word,end_word,event_sentence,event_words,chapter
16051,229,229,229.03,428,Told,1869-08-18,1869-08-20,Reconstruction (1866-1889),"<p>The midwife who delivered Milly's baby is found ""about a week"" afterwards (229).  [SOURCE: Father, Quentin]</p>",AA462,Present,Unnamed Negro Midwife,Black,Female,Free Black,Minor,Midwife|Dicey's Cabin,962,202,-202," Father, Quentin",then about a week later they caught,and she told how she didn't know that wash,then about a week later they caught the nigger the midwife,11,7
16052,229,230,229.04,414.6,Told,1869-08-12,1869-08-12,Reconstruction (1866-1889),<p>Sutpen's death is told first from the perspective of the Negro midwife who has helped Milly Jones deliver the baby that Sutpen comes to the fishing camp to see; she hears Wash outside the camp threatening Sutpen and runs away.  [SOURCE: Midwife]</p>,AA18,Present,Milly Jones,White,Female,Poor White,Minor,Fishing Camp|Hunting Camp,768,117,-117, Midwife,and she told how she didn't know that wash,wait shreve said wait you mean that he had,and she told how she didn't know that wash was there at all that dawn when she heard the horse and then sutpen's feet and he came in and stood over the pallet where the girl and the baby were and said penelope that was the mare foaled this morning a damned fine colt going to be the spit and image of his daddy when i rode him north in 61 do you remember and the old nigger said she said yes marster and that he jerked the riding whip toward the pallet and said well damn your black hide horse or mare and that she told him and that he stood there for a minute and he didn't move at all with the riding whip against his leg and the lattices of sunlight from the unchinked wall falling upon him across his white hair and his beard that hadn't turned at all yet and she said she saw his eyes and then his teeth inside his beard and that she would have run then only she couldn't couldn't seem to make her legs bear to get up and run and then he looked at the girl on the pallet again and said well milly too bad you're not a mare too then i could give you a decent stall in the stable and turned and went out only she could not move even yet and she didn't even know that wash was outside there she just heard sutpen say stand back wash dont you touch me and then wash his voice soft and hardly loud enough to reach her i'm going to tech you kernel and sutpen again stand back wash sharp now and then she heard the whip on wash's face but she didn't know if she heard the scythe or not because now she found out that she could move get up run out of the cabin and into the weeds running,325,7
16053,230,230,230.01,550,Narrated,1910-01-13,1910-01-13,Turn of the Century (1890-1913),<p>Shreve breaks into Quentin's story to ask about Sutpen's words.  [SOURCE: Narrator]</p>,AA289,Mentioned,Thomas Sutpen,White,Male,Upper Class,Major,Harvard University,2571,831,-831, Narrator,wait shreve said wait you mean that he had,walked the three miles and back before midnight,wait shreve said wait you mean that he had got the son at last that he wanted yet still he,20,7
16054,230,230,230.02,411,Told,1869-08-11,1869-08-11,Reconstruction (1866-1889),"<p>After Shreve's interruption, Quentin resumes, abruptly, by talking about what Wash did when his granddaughter had her baby.  [SOURCE: Father, Quentin]</p>",AA462,Present,Wash Jones,White,Male,Poor White,Secondary,Midwife|Dicey's Cabin,962,202,-202," Father, Quentin",walked the three miles and back before midnight,until daylight came and the granddaughter stopped screaming,walked the three miles and back before midnight to fetch the old nigger then sat on the sagging gallery,19,7
16055,230,231,230.03,411.5,Told,1869-08-12,1869-08-12,Reconstruction (1866-1889),"<p>While Wash waits for his granddaughter's delivery, he thinks about how Sutpen's greatness is the answer to all his questions, including the South's defeat in the Civil War.  [SOURCE: Father, Quentin]</p>",AA18,Mentioned,Milly Jones,White,Female,Poor White,Minor,Fishing Camp|Hunting Camp,768,117,-117," Father, Quentin",until daylight came and the granddaughter stopped screaming,and maybe still standing there and holding the stallion's,until daylight came and the granddaughter stopped screaming inside the cabin and he even heard the baby once waiting for sutpen and father said his heart was quiet then too even though he knew what they would be saying in every cabin about the land by nightfall just as he had known what they were saying during the last four or five months while his granddaughter's condition which he had never tried to conceal could no longer be mistaken wash jones has fixed old sutpen at last it taken him twenty years to do it but he has got a holt of old sutpen at last where sutpen will either have to tear meat or squeal that's what father said he was thinking while he waited outside on the gallery where the old nigger had sent him ordered him out standing there maybe by the very post where the scythe had leaned rusting for two years while the granddaughter's screams came steady as a clock now but his own heart quiet not at all concerned nor alarmed and father said that maybe while he stood befogged in his fumbling and groping that morality of his that was a good deal like sutpen's that told him he was right in the face of all fact and usage and everything else which had always been somehow mixed up and involved with galloping hooves even during the old peace that nobody remembered and in which during the four years of the war which he had not attended the galloping had been only the more gallant and proud and thunderous father said that maybe he got his answer that maybe there broke free and plain in midgallop against the yellow sky of dawn the fine proud image of the man on the fine proud image of the stallion and that the fumbling and the groping broke clear and free too not in justification or explanation or extenuation or excuse father said but as the apotheosis lonely explicable beyond all human fouling he is bigger than all them yankees that killed us and ourn that killed his wife and widowed his daughter and druv his son from home that stole his niggers and ruined his land bigger than this whole county that he fit for and in payment for which has brung him to keeping a little country store for his bread and meat bigger than the scorn and denial which hit helt to his lips like the bitter cup in the book and how could i have lived nigh to him for twenty years without being touched and changed by him maybe i am not as big as he is and maybe i did not do any of the galloping but at least i was drug along where he went and me and him can still do hit and will ever so if so be he will show me what he aims for me to do,492,7
16056,231,231,231.01,414,Told,1869-08-12,1869-08-12,Reconstruction (1866-1889),"<p>Sutpen rides up to the camp and Wash takes the reins of his stallion.  The words Sutpen speaks to his granddaughter destroy the faith Wash has always had, in Sutpen and the South; after losing all sense of ""stability"" (231), he determines to kill Sutpen.  [SOURCE: Father, Quentin]</p>",AA18,Present,Wash Jones,White,Male,Poor White,Secondary,Fishing Camp|Hunting Camp,768,117,-117," Father, Quentin",and maybe still standing there and holding the stallion's,wait shreve said for christ's sake wait,and maybe still standing there and holding the stallion's reins after sutpen had entered the cabin still hearing the galloping watching the proud galloping image merge and pass galloping through avatars which marked the accumulation of years time to the fine climax where it galloped without weariness or progress forever and forever immortal beneath the brandished sabre and the shot torn flags rushing down a sky in color like thunder stood there and heard sutpen inside the house speak his single sentence of salutation inquiry and farewell to the granddaughter and father said that for a second wash must not have felt the very earth under his feet while he watched sutpen emerge from the house the riding whip in his hand thinking quietly like in a dream i kaint have heard what i know i heard i just know i kaint thinking that was what got him up it was that colt it aint me or mine either it wasn't even his own that got him out of bed maybe feeling no earth no stability even yet maybe not even hearing his own voice when sutpen saw his face the face of the man who in twenty years he had no more known to make any move save at command than he had the stallion which he rode and stopped you said if she was a mare you could give her a decent stall in the stable maybe not even hearing sutpen when he said sudden and sharp stand back dont you touch me only he must have heard that because he answered it i'm going to tech you kernel and sutpen said stand back wash again before the old woman heard the whip only there were two blows with the whip they found the two welts on wash's face that night maybe the two blows even knocked him down maybe it was while he was getting up that he put his hand on the scythe,327,7
16057,231,231,231.02,551,Narrated,1910-01-13,1910-01-13,Turn of the Century (1890-1913),<p>Shreve again tries to interrupt Quentin's story of Sutpen's death.  [SOURCE: Narrator]</p>,AA289,Mentioned,Thomas Sutpen,White,Male,Upper Class,Major,Harvard University,2571,831,-831, Narrator,wait shreve said for christ's sake wait,sat there all that day in the little window,wait shreve said for christ's sake wait you mean that he,11,7
16058,231,233,231.03,415,Told,1869-08-12,1869-08-12,Reconstruction (1866-1889),"<p>Again after Shreve's interruption, Quentin's story resumes, having skipped over the actual killing of Sutpen to describe Wash's reflections on the other side of his disillusionment.  As he imagines the ""men of Sutpen's own kind"" who will be coming for him, the same kind of men who ""led the way"" for the South during the Civil War, he now sees them as symbols of admiration and ""instruments of despair"" (232).  [SOURCE: Father, Quentin]</p>",AA18,Mentioned,Mr. Compson,White,Male,Upper Class,Major,Fishing Camp|Hunting Camp,768,117,-117," Father, Quentin",sat there all that day in the little window,then they rode up he must have been listening,sat there all that day in the little window where he could watch the road probably laid the scythe down and went straight into the house where maybe the granddaughter on the pallet asked querulously what it was and he answered whut whut racket honey and maybe he tried to persuade her to eat too the side meat he had probably brought home from the store saturday night or maybe the candy trying to tempt her with it maybe the nickel's worth of stale jellified glue out of a striped sack and maybe ate himself and then sat at the window where he could look out above the body and the scythe in the weeds below and watch the road because he was sitting there when the half grown boy came around the corner of the house whistling and saw him and father said he must have realised then that it would not be much after dark when it would happen that he must have sat there and sensed felt them gathering with the horses and dogs and guns the curious and the vengeful men of sutpen's own kind who used to eat at his table with him back when he wash had yet to approach nearer the house than the scuppernong arbor men who had led the way shown the other and lesser ones how to fight in battles who might also possess signed papers from the generals saying that they were among the first and foremost of the brave who had galloped also in the old days arrogant and proud on the fine horses about the fine plantations symbol also of admiration and hope instruments too of despair and grief these it was whom he was expected to run from and it seeming to him probably that he had no less to run from than he had to run to that if he ran he would be fleeing merely one set of bragging and evil shadows for another since they men were all of a kind throughout all of earth which he knew and he old too old to run far even if he were to run who could never escape them no matter how much or how far he ran a man past sixty could not expect to run that far far enough to escape beyond the boundaries of earth where such men lived set the order and the rule of living and father said that maybe for the first time in his life he began to comprehend how it had been possible for yankees or any other army to have whipped them the gallant the proud the brave the acknowledged and chosen best among them all to bear the courage and honor and pride it would probably be about sunset now and probably he could feel them quite near now father said it probably seemed to him that he could even hear them all the voices the murmuring of tomorrow and tomorrow and tomorrow beyond the immediate fury old wash jones come a tumble at last he thought he had sutpen but sutpen fooled him he thought he had him but old wash jones got fooled and then maybe even saying it aloud shouting it father said but i never expected that kernel you know i never until maybe the granddaughter stirred and spoke querulously again and he went and quieted her and returned to talk to himself again but careful now quiet now since sutpen was close enough to hear him easy without shouting you know i never you know i never expected or asked or wanted nothing from arra living man but what i expected from you and i never asked that i didn't think hit would need i just said to myself i dont need to what need has a fellow like wash jones to question or doubt the man that general lee himself said in a hand wrote ticket that he was brave brave and maybe it would be loud again forgetting again brave better if narra one of them had ever rid back in 65 thinking better if his kind and mine too had never drawn the breath of life on this earth better that all who remain of us be blasted from the face of it than that another wash jones should see his whole life shredded from him and shrivel away like a dried shuck thrown onto the fire,740,7
16059,233,233,233.01,420,Told,1869-08-12,1869-08-12,Reconstruction (1866-1889),"<p>When the Sheriff's posse surrounds the fishing camp, Wash gently murders his granddaughter and her new baby, then holding the scythe with which he killed Sutpen, he charges at the men outside.    [SOURCE: Father, Quentin, Major de Spain]</p>",AA18,Mentioned,Mr. Compson,White,Male,Upper Class,Major,Fishing Camp|Hunting Camp,768,117,-117," Father, Quentin, Major de Spain",then they rode up he must have been listening,wait shreve said you mean that he got the son,then they rode up he must have been listening to them as they came down the road the dogs and the horses and seen the lanterns since it was dark now and major de spain who was sheriff then got down and saw the body though he said he did not see wash nor know that he was there until wash spoke his name quietly from the window almost in his face that you major de spain told him to come on out and he said how wash's voice was quite quiet when he said he would be out in just a minute it was too quiet too calm so much too quiet and calm that de spain said he did not realise for a moment that it was too calm and quiet in just a minute soon as i see about my granddaughter we'll see to her de spain said you come on out sho major wash said in just a minute so they waited in front of the dark house and the next day father said there were a hundred that remembered about the butcher knife that he kept hidden and razor sharp the one thing in his sloven life that he was ever known to take pride in or care of only by the time they remembered all this it was too late so they didn't know what he was about they just heard him moving inside the dark house then they heard the granddaughter's voice fretful and querulous who is it light the lamp grandpaw then his voice hit wont need no light honey hit wont take but a minute then de spain drew his pistol and said you wash come out of there and still wash didn't answer murmuring still to the granddaughter where air you and the fretful voice answering right here where else would i be what is then de spain said jones and he was already fumbling at the broken steps when the granddaughter screamed and now all the men there claimed that they heard the knife on both the neckbones though de spain didn't he just said he knew that wash had come out onto the gallery and that he sprang back before he found out that it was not toward him wash was running but toward the end of the gallery where the body lay but that he did not think about the scythe he just ran backward a few feet when he saw wash stoop and rise again and now wash was running toward him only he was running toward them all de spain said running into the lanterns so that now they could see the scythe raised above his head they could see his face his eyes too as he ran with the scythe above his head straight into the lanterns and the gun barrels making no sound no outcry while de spain ran backward before him saying jones stop stop or i'll kill you jones jones jones,500,7
16060,234,234,234.01,552,Narrated,1910-01-13,1910-01-13,Turn of the Century (1890-1913),"<p>Shreve again interrupts, before Quentin can describe Wash's death, to again ask about Sutpen's behavior.  [SOURCE: Narrator]</p>",AA289,Mentioned,Thomas Sutpen,White,Male,Upper Class,Major,Harvard University,2571,831,-831, Narrator,wait shreve said you mean that he got the son,sitting in grandfather's office that afternoon with,wait shreve said you mean that he got the son he wanted after all that trouble and then turned right around and yes,23,7
16061,234,234,234.02,337,Told,1864-11-01,1864-11-30,Civil War (1861-1865),"<p>Quentin reminds Shreve that when he visited Grandfather during the Civil War, Sutpen said that ""all I wanted was just a son"" (234).  [SOURCE: Grandfather, Quentin]</p>",AA1113,Mentioned,Henry Sutpen,White,Male,Upper Class,Major,General Compson's|Mr. Compson's Office,1320,837,-837," Grandfather, Quentin",sitting in grandfather's office that afternoon with,will you wait shreve said that with the son,sitting in grandfather's office that afternoon with his head kind of flung back a little explaining to grandfather like he might have been explaining arithmetic to henry back in the fourth grade you see all i wanted was just a son which seems to me when i look about at my contemporary scene no exorbitant gift from nature or circumstance to demand,62,7
16062,234,234,234.03,553,Narrated,1910-01-13,1910-01-13,Turn of the Century (1890-1913),"<p>Quentin answers the question that Shreve has been repeatedly asking by telling him that Milly Jones' newborn baby ""was a girl"" (234).  [SOURCE: Narrator]</p>",AA289,Mentioned,Sutpen and Milly's Daughter,White,Female,Poor White,Minor,Harvard University,2571,831,-831, Narrator,will you wait shreve said that with the son,there would be no deep breathing tonight the window,will you wait shreve said that with the son he went to all that trouble to get lying right there behind him in the cabin he would have to taunt the grandfather into killing first him and then the child too what quentin said it wasn't a son it was a girl oh shreve said come on let's get out of this damn icebox and go to bed chapter 8,70,7
