"substring(first_clean_out, matched[[1]], matched[[1]] + attr(matched[[1]], ""match.length"") - 1)"
(as the sun shone fuller and fuller on that side of the house)
(man-horse-demon)
(Colonel Sutpen)
"(Tore violently a plantation, Miss Rosa Coldfield says)"
"(Without gentleness begot, Miss Rosa Coldfield says)"
(Only they destroyed him or something or he destroyed them or something. And died)
(Save by her)
(And by Quentin Compson)
"(it too somehow smaller than its actual size it was of two storeys unpainted and a little shabby, yet with an air, a quality of grim endurance as though like her it had been created to fit into and complement a world in all ways a little smaller than the one in which it found itself)"
(Quentin’s)
(even if not affirmed)
"(some said, walled up)"
"(Miss Coldfield at least would have said, just)"
"(“But why tell me about it?” he said to his father that evening, when he returned home, after she had dismissed him at last with his promise to return for her in the buggy; “why tell me about it? What is it to me that the land or the earth or whatever it was got tired of him at last and turned and destroyed him? What if it did destroy her family too? It’s going to turn and destroy us all someday, whether our name happens to be Sutpen or Coldfield or not.” “Ah,” Mr Compson said. “Years ago we in the South made our women into ladies. Then the War came and made the ladies into ghosts. So what else can we do, being gentlemen, but listen to them being ghosts?” Then he said, “Do you want to know the real reason why she chose you?” They were sitting on the gallery after supper, waiting for the time Miss Coldfield had set for Quentin to call for her. “It’s because she will need someone to go with her a man, a gentleman, yet one still young enough to do what she wants, do it the way she wants it done. And she chose you because your grandfather was the nearest thing to a friend which Sutpen ever had in this county, and she probably believes that Sutpen may have told your grandfather something about himself and her, about that engagement which did not engage, that troth which failed to plight. Might even have told your grandfather the reason why at the last she refused to marry him. And that your grandfather might have told me and I might have told you. And so, in a sense, the affair, no matter what happens out there tonight, will still be in the family; the skeleton (if it be a skeleton) still in the closet. She may believe that if it hadn’t been for your grandfather’s friendship, Sutpen could never have got a foothold here, and that if he had not got that foothold, he could not have married Ellen. So maybe she considers you partly responsible through heredity for what happened to her and her family through him.”)"
"(mused, thought, seemed to possess sentience, as if, though dispossessed of the peace who was impervious anyhow to fatigue which she declined to give it, it was still irrevocably outside the scope of her hurt or harm)"
(Miss Coldfield)
(even to twenty)
"(the voice, the talking, the incredulous and unbearable amazement)"
(including the father who was to give him a daughter in marriage)
(or on any other patent of respectability)
(or any other reputable man’s)
(if anyone needed further proof)
(and probably did)
"(and the man who had done that, villain dyed though he be, would have possessed in her eyes, even if only from association with them, the stature and shape of a hero too)"
(and not because I was four years younger than Judith and six years younger than Henry: wasn’t it to me that Ellen turned before she died and said ‘Protect them’?)
"(the talking, the telling)"
"(to him, to Quentin)"
(verisimilitude)
"(and his, too)"
"(this because of his beard, doubtless)"
"(I had been inside it before too, of course, but even when I saw it for the first time that I could remember I seemed already to know how it was going to look just as I seemed to know how Ellen and Judith and Henry would look before I saw them for the time which I always remember as being the first)"
(that same instinctive knowledge which enabled me to tell Ellen that it was not from him that Judith would need protection)
"(and, on Sundays, heard even one of the original three bells in the same steeple where descendants of the same pigeons strutted and crooned or wheeled in short courses resembling soft fluid paint-smears on the soft summer sky)"
"(the ladies moving in hoops among the miniature broadcloth of little boys and the pantalettes of little girls, in the skirts of the time when ladies did not walk but floated)"
"(Jefferson was a village then: the Holston House, the courthouse, six stores, a blacksmith and livery stable, a saloon frequented by drovers and peddlers, three churches and perhaps thirty residences)"
(he was a young man too then; it would be years yet before he would become General Compson)
"(and even in saying aloud, now that he was not present)"
(not General Compson)
(or did not use)
"(usually Sutpen did not even greet them with as much as a nod, apparently as unaware of their presence as if they had been idle shades)"
"(or rather, ladder)"
(even General Compson did not know yet)
(or said)
(so the town learned later)
"(he or one of the negroes had ironed the coat with heated bricks, General Compson told Quentin’s father)"
(some of them had even come to call him Sutpen without the formal Mister)
"(it was April then, and the road was still a quagmire)"
